problem_id,theorem_name,goal_text,vector
"Erdos_120","erdos_120","answer(sorry) ↔ ∀ A : Set ℝ, A.Infinite → Erdos120For A","0|0|0|0|0|0|0|0|0|0.195993662|0|0.195993662|0|0|0.195993662|0.391987324|0.195993662|0.195993662|0|0|0|0|0.195993662|0|0|0|0|0|0.195993662|0.195993662|0.195993662|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0353332609|0|0|0|0|0.706665218"
"Erdos_13","erdos_13","∃ C : ℝ, ∀ N : ℕ, ∀ A ⊆ Icc 1 N, IsForbiddenTripleFree A → (A.card : ℝ) ≤ (N : ℝ) / 3 + C","0|0|0|0|0|0|0|0|0|0.10180787|0.20361574|0.305423617|0.305423617|0.10180787|0|0|0.20361574|0.10180787|0.10180787|0.20361574|0.20361574|0.10180787|0|0|0|0.20361574|0|0.10180787|0.20361574|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0705345646|0|0|0|0|0.705345631"
"Erdos_141","first_three_odd_primes","({3, 5, 7} : Set ℕ).IsPrimeProgressionOfLength 3","0|0|0|0|0|0|0|0|0|0.288494855|0.288494855|0|0.288494855|0|0|0.288494855|0|0|0|0|0|0|0|0.288494855|0|0|0|0|0.288494855|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0353332609|0|0|0|0|0.706665218"
"Erdos_158","erdos_158","answer(sorry) ↔ ∀ A : Set ℕ, A.Infinite → B2 2 A → liminf (fun N : ℕ => (A ∩ .Iio N).ncard * (N : ℝ) ^ (- 1 / 2 : ℝ)) atTop = 0","0|0|0|0|0|0|0|0|0.0783410743|0.0783410743|0|0.235023215|0.0783410743|0.156682149|0.0783410743|0.313364297|0.156682149|0.0783410743|0.0783410743|0.0783410743|0.235023215|0.156682149|0.0783410743|0.0783410743|0.0783410743|0.156682149|0|0.0783410743|0.235023215|0|0.235023215|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.17407766|0|0|0|0|0.696310639"
"Erdos_160","erdos_160.known_upper","(fun n => (erdos_160.h n : ℝ)) =O[atTop] fun n => (n : ℝ) ^ ((2 : ℝ) / 3)","0|0|0|0|0|0|0|0|0.129301637|0|0|0.258603275|0.129301637|0.129301637|0|0|0.129301637|0.129301637|0.129301637|0|0|0.129301637|0|0|0|0|0.258603275|0.129301637|0.258603275|0|0.387904912|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.17407766|0|0|0|0|0.696310639"
"Erdos_168","erdos_168.parts.i","Filter.Tendsto (fun N => (F N / N : ℝ)) Filter.atTop (𝓝 answer(sorry))","0|0|0|0|0|0|0|0|0|0|0.165024593|0.165024593|0.330049187|0|0|0.330049187|0|0.165024593|0|0.165024593|0.165024593|0.165024593|0.165024593|0|0.165024593|0|0.165024593|0|0|0|0.165024593|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.140028|0|0|0|0|0.700139999"
"Erdos_184","erdos_184","∃ f : ℕ → ℝ, (f =O[atTop] fun n : ℕ ↦ (n : ℝ)) ∧ ∀ {V : Type*} [Fintype V] [DecidableEq V] (G : SimpleGraph V), ∃ (D : Finset G.Subgraph), (∀ H ∈ D, IsCycleOrEdge H.coe) ∧ IsDecomposition G D ∧ (D.card : ℝ) ≤ f (Fintype.card V)","0|0|0|0|0|0|0|0|0.0546069071|0.0546069071|0.109213814|0.0546069071|0|0.327641457|0.163820729|0.163820729|0.0546069071|0.109213814|0.109213814|0.273034543|0.109213814|0.218427628|0.0546069071|0|0|0.218427628|0|0.0546069071|0.218427628|0.0546069071|0.109213814|0.109213814|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.240239367|0|0|0|0|0.686398208"
"Erdos_188","erdos_188","IsLeast s answer(sorry)","0|0|0|0|0|0|0|0|0.407993346|0|0|0|0.407993346|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.407993346|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0353332609|0|0|0|0|0.706665218"
"Erdos_193","erdos_193","answer(sorry) ↔ ∀ S : Set (Fin 3 → ℤ), S.Finite → /- The statement's $A = \lbrace a_1, a_2, \ldots \rbrace$ is an infinite set. If the sequence only takes finitely many values, one value has to repeat infinitely many times, which would yield a trivial collinear triple (x, x, x). In this case, the conjecture would hold for degenerate S-walks. Another case is constant S-walks, which would render the conjecture trivially false (finite loop ranges have no 3 distinct points). Assuming the authors intend to stay away from these degenerate cases, we formalize this by requiring an infinite range (and require distinct points). -/ ∀ a : ℕ → Fin 3 → ℤ, IsSWalk S a → (range a).Infinite → HasCollinearTriple ℚ (range (fun n ↦ (↑) ∘ a n : ℕ → Fin 3 → ℚ))","0|0|0|0|0|0|0|0|0.0865398496|0.0432699248|0.0865398496|0.216349632|0.0865398496|0.0865398496|0.0865398496|0.151444733|0.0649048835|0.129809767|0.194714665|0.173079699|0.0649048835|0.194714665|0.0865398496|0.151444733|0.151444733|0.173079699|0.129809767|0.0432699248|0.2812545|0.129809767|0.0649048835|0.108174816|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.303217679|0|0|0|0|0.673817098"
"Erdos_195","erdos_195","answer(sorry) = sSup {k : ℕ | ∀ f : ℤ ≃ ℤ, HasMonotoneAP f k}","0|0|0|0|0|0|0|0|0|0|0|0.166562602|0|0.166562602|0|0|0.166562602|0.333125204|0|0|0|0.166562602|0|0.166562602|0.166562602|0|0.166562602|0.166562602|0|0.333125204|0.166562602|0.166562602|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0353332609|0|0|0|0|0.706665218"
"Erdos_200","erdos_200","answer(sorry) ↔ (fun n => (longestPrimeArithmeticProgressions n : ℝ)) =o[atTop] (fun n => log n)","0|0|0|0|0|0|0|0|0|0|0|0.274617493|0|0|0|0|0.137308747|0.137308747|0|0|0.137308747|0|0|0.137308747|0.274617493|0|0|0|0.274617493|0|0.41192624|0.137308747|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.140028|0|0|0|0|0.700139999"
"Erdos_213","erdos_213","answer(sorry) ↔ ∀ n : ℕ, n ≥ 4 → Erdos213For n","0|0|0|0|0|0|0|0|0|0|0|0|0|0.342783004|0|0|0.342783004|0.171391502|0|0.171391502|0|0|0|0|0|0.171391502|0|0|0.342783004|0|0.171391502|0.171391502|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0353332609|0|0|0|0|0.706665218"
"Erdos_219","primeArithmeticProgression_3_5_7","{3, 5, 7} ∈ primeArithmeticProgressions","0|0|0|0|0|0|0|0|0|0.288675129|0.577350259|0.288675129|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.707106769"
"Erdos_228","erdos_228","answer(True) ↔ ∃ (c₁ : ℝ) (c₂ : ℝ), ∀ᶠ n : ℕ in Filter.atTop, ∃ p : Polynomial ℂ, p.degree = n ∧ (∀ i ≤ n, p.coeff i = 1 ∨ p.coeff i = -1) ∧ ∀ z : ℂ, ‖z‖ = 1 → ( √n < c₁ * ‖p.eval z‖ ∧ ‖p.eval z‖ < c₂ * √n )","0|0|0|0|0|0|0|0|0.0947558805|0.142133817|0.236889705|0|0.189511761|0.236889705|0|0.0947558805|0.0473779403|0.0947558805|0.189511761|0.142133817|0.142133817|0.189511761|0.0473779403|0.189511761|0|0.0473779403|0.236889705|0.189511761|0|0.142133817|0.142133817|0.0473779403|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.17407766|0|0|0|0|0.696310639"
"Erdos_241","erdos_241","answer(sorry) ↔ (fun N ↦ (f N 3 : ℝ)) ~[atTop] (fun N ↦ (N : ℝ) ^ ((1 : ℝ) / 3))","0|0|0|0|0|0|0|0|0.121339202|0|0|0.242678404|0.121339202|0|0.242678404|0.242678404|0.242678404|0.121339202|0|0|0.121339202|0.242678404|0|0|0|0.121339202|0.121339202|0.121339202|0|0.121339202|0.242678404|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.240239367|0|0|0|0|0.686398208"
"Erdos_245","erdos_245","answer(True) ↔ ∀ (A : Set ℕ), A.Infinite → atTop.Tendsto (fun N ↦ (A ∩ Icc 1 ⌊N⌋₊ |>.ncard : ℝ) / N) (𝓝 0) → 3 ≤ atTop.limsup fun N : ℝ ↦ ((A + A) ∩ Icc 1 ⌊N⌋₊ |>.ncard : EReal) / (A ∩ Icc 1 ⌊N⌋₊).ncard","0|0|0|0|0|0|0|0|0|0.0504356287|0.201742515|0.151306883|0.100871257|0.0504356287|0|0.252178162|0.0504356287|0.0504356287|0|0.100871257|0.201742515|0.151306883|0.201742515|0.0504356287|0.151306883|0.302613765|0.100871257|0|0.201742515|0.100871257|0.151306883|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.272165537|0|0|0|0|0.680413842"
"Erdos_272","erdos_272","(fun N ↦ (maxArithInterCard N : ℝ)) ~[atTop] (answer(sorry) : ℕ → ℝ)","0|0|0|0|0|0|0|0|0|0|0.321246266|0|0|0|0|0.160623133|0|0|0|0.160623133|0.321246266|0.321246266|0|0|0|0|0|0|0|0.160623133|0.321246266|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.140028|0|0|0|0|0.700139999"
"Erdos_273","erdos_273","answer(sorry) ↔ ∃ c : StrictCoveringSystem ℤ, ∀ i, ∃ (p : ℕ), p.Prime ∧ 5 ≤ p ∧ c.moduli i = Ideal.span {↑(p - 1)}","0|0|0|0|0|0|0|0|0.0834500492|0.166900098|0|0.166900098|0|0.0834500492|0.166900098|0|0.0834500492|0|0.0834500492|0|0.0834500492|0.0834500492|0|0|0.250350147|0.166900098|0.333800197|0|0|0.166900098|0.333800197|0.166900098|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.10547439|0|0|0|0|0.703162551"
"Erdos_285","erdos_285","answer(True) ↔ ∀ᵉ (f : ℕ → ℕ) (S : Set ℕ) (hS : S = {k | ∃ (n : Fin k.succ → ℕ), StrictMono n ∧ 0 ∉ Set.range n ∧ 1 = ∑ i, (1 : ℝ) / n i }) (h : ∀ k ∈ S, IsLeast { n (Fin.last k) | (n : Fin k.succ → ℕ) (_ : StrictMono n) (_ : 0 ∉ Set.range n) (_ : 1 = ∑ i, (1 : ℝ) / n i) } (f k)), ∃ (o : ℕ → ℝ) (_ : o =o[atTop] (1 : ℕ → ℝ)), ∀ k ∈ S, f k = (1 + o k) * rexp 1 / (rexp 1 - 1) * (k + 1)","0|0|0|0|0|0|0|0|0.0663236529|0.221078843|0.132647306|0.0663236529|0.176863074|0|0.110539421|0.132647306|0.132647306|0.0663236529|0.132647306|0.110539421|0.132647306|0.15475519|0.0884315372|0.0884315372|0.0663236529|0.15475519|0.0663236529|0.132647306|0.132647306|0.0221078843|0.132647306|0.0442157686|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.577350259|0|0|0|0|0.577350259"
"Erdos_295","erdos_295","answer(sorry) ↔ Filter.atTop.Tendsto (fun N => k N - (rexp 1 - 1)*N) Filter.atTop","0|0|0|0|0|0|0|0|0|0.114068024|0|0.342204064|0.342204064|0.114068024|0.114068024|0.342204064|0.114068024|0.228136048|0|0.114068024|0|0|0|0|0|0|0|0|0.114068024|0|0.114068024|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.10547439|0|0|0|0|0.703162551"
"Erdos_319","erdos_319.variants.lb","∃ (o : ℕ → ℝ), (o =o[atTop] (1 : ℕ → ℝ)) ∧ ∀ᶠ N in atTop, (1 - 1 / rexp 1 + o N) * N ≤ sSup { (#A : ℝ) | (A) (_ : A ⊆ Finset.Icc 1 N) (_ : ∃ δ : ℕ → ℤˣ, ∑ n ∈ A, (δ n : ℚ) / n = 0 ∧ ∀ A' ⊂ A, A'.Nonempty → ∑ n ∈ A', (δ n : ℚ) / n ≠ 0) }","0|0|0|0|0|0|0|0|0.169442862|0.135554284|0.135554284|0.0677771419|0.0677771419|0.033888571|0|0.203331441|0.033888571|0|0.135554284|0.237219989|0.10166572|0.203331441|0.169442862|0.338885725|0.033888571|0.135554284|0|0.0677771419|0.10166572|0.10166572|0.10166572|0.033888571|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.333333343|0|0|0|0|0.666666687"
"Erdos_326","erdos_326","answer(sorry) ↔ ∀ (A : Set ℕ), A.IsAddBasisOfOrder 2 → ∃ (b : ℕ → ℕ), StrictMono b ∧ ∀ n, b n ∈ A ∧ (Set.range b).IsAddBasis ∧ ∀ (x : ℝ), ¬ Tendsto (fun n ↦ (b n : ℝ) / n ^ 2) atTop (𝓝 x)","0|0|0|0|0|0|0|0|0.0575054623|0.172516391|0.0575054623|0.0575054623|0.230021849|0.115010925|0|0.230021849|0.115010925|0.172516391|0.172516391|0.115010925|0.287527323|0.172516391|0|0|0.0575054623|0.115010925|0.115010925|0.0575054623|0.172516391|0|0.172516391|0.115010925|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.272165537|0|0|0|0|0.680413842"
"Erdos_329","erdos_329","sSup {sidonUpperDensity A | (A : Set ℕ) (_ : IsSidon A)} = answer(sorry)","0|0|0|0|0|0|0|0|0|0|0|0|0.153442636|0|0|0.306885272|0|0.153442636|0.153442636|0|0.153442636|0|0.153442636|0|0|0.460327953|0.153442636|0.153442636|0|0|0.153442636|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.10547439|0|0|0|0|0.703162551"
"Erdos_340","greedySidon_go_singleton_two","(greedySidon.go {1} (by simp [IsSidon]) 2).val = 2","0|0|0|0|0|0|0|0|0|0.195627674|0|0|0.391255349|0.195627674|0|0|0|0.195627674|0.391255349|0|0|0|0.195627674|0|0|0|0|0|0|0|0.195627674|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0705345646|0|0|0|0|0.705345631"
"Erdos_358","f_id","f id = fun n ↦ #{d ∈ n.divisors | Odd d}","0|0|0|0|0|0|0|0|0|0|0.452267021|0|0|0|0|0|0|0.150755674|0|0.150755674|0|0.150755674|0|0|0.150755674|0|0|0|0.301511347|0|0.150755674|0.301511347|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.707106769"
"Erdos_36","M_one","M 1 = 1","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.408248276|0|0|0|0|0|0|0|0|0|0|0|0.408248276|0.408248276|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.707106769"
"Erdos_43","erdos_43.parts.i","answer(False) ↔ ∃ C : ℝ, ∀ᶠ N in Filter.atTop, ∀ (A B : Finset ℕ), A ⊆ Finset.Icc 1 N → B ⊆ Finset.Icc 1 N → IsSidon (A : Set ℕ) → IsSidon (B : Set ℕ) → (A - A) ∩ (B - B) = {0} → ((A.card.choose 2 + B.card.choose 2 : ℕ) : ℝ) ≤ ((f N).choose 2 : ℝ) + C","0|0|0|0|0|0|0|0|0|0.0407231525|0.16289261|0.16289261|0.285062075|0.0814463049|0.0814463049|0.203615755|0.0407231525|0.16289261|0.0407231525|0.0814463049|0.122169457|0.122169457|0.122169457|0.122169457|0.0814463049|0.122169457|0.0407231525|0.16289261|0.244338915|0.203615755|0.0814463049|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.333333343|0|0|0|0|0.666666687"
"Erdos_494","erdos_494.variants.k_eq_2_card_not_pow_two","∀ card : ℕ, (∀ l : ℕ, card ≠ 2 ^ l) → Erdos494Unique 2 card","0|0|0|0|0|0|0|0|0|0.150661528|0|0|0|0|0|0.150661528|0|0.150661528|0.150661528|0|0.301323056|0.150661528|0.301323056|0.301323056|0|0|0|0|0.150661528|0.301323056|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0353332609|0|0|0|0|0.706665218"
"Erdos_501","erdos_501","answer(sorry) ↔ ∀ (A : ℝ → Set ℝ), (∀ x, Bornology.IsBounded (A x)) → (∀ x, volume.toOuterMeasure (A x) < 1) → ∃ X : Set ℝ, X.Infinite ∧ X.Pairwise (fun x y => x ∉ A y)","0|0|0|0|0|0|0|0|0.0599708892|0.239883557|0.0599708892|0.0599708892|0.0599708892|0.119941778|0.0599708892|0.299854428|0.0599708892|0.0599708892|0.179912671|0.0599708892|0.0599708892|0.0599708892|0.0599708892|0.119941778|0|0|0|0.0599708892|0.179912671|0.239883557|0.359825343|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.240239367|0|0|0|0|0.686398208"
"Erdos_503","erdos_503.variants.R2","IsGreatest {(A.ncard) | (A : Set ℝ²) (hA : A.IsIsosceles)} 6","0|0|0|0|0|0|0|0|0.175790638|0|0|0|0|0.175790638|0|0.351581275|0|0|0.175790638|0|0.175790638|0|0.351581275|0.175790638|0.175790638|0|0.175790638|0|0|0.175790638|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.10547439|0|0|0|0|0.703162551"
"Erdos_507","erdos_507.equivalent","α ~[atTop] (answer(sorry) : ℕ → ℝ)","0|0|0|0|0|0|0|0|0|0|0.287956148|0|0|0|0|0|0|0|0|0.287956148|0.287956148|0.287956148|0|0|0|0|0|0|0|0.287956148|0.287956148|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0705345646|0|0|0|0|0.705345631"
"Erdos_508","HadwigerNelsonProblem","χ(ℝ²) = answer(sorry)","0|0|0|0|0|0|0|0|0|0|0|0|0.352672815|0|0|0|0|0|0|0|0.352672815|0|0|0|0|0.352672815|0|0|0|0|0.352672815|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0705345646|0|0|0|0|0.705345631"
"Erdos_509","erdos_509","answer(sorry) ↔ ∀ (f : ℂ[X]), f.Monic → f.natDegree ≠ 0 → ∃ (ι : Type), Nonempty (BoundedDiscCover {z | ‖f.eval z‖ ≤ 1} 2 ι)","0|0|0|0|0|0|0|0|0.182300925|0.182300925|0.0911504626|0|0.0911504626|0.0911504626|0.0911504626|0.182300925|0.182300925|0.182300925|0|0.0911504626|0|0.182300925|0.364601851|0|0|0|0.273451388|0|0|0.0911504626|0.182300925|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.140028|0|0|0|0|0.700139999"
"Erdos_535","erdos_535","∀ r ≥ 3, ∃ c > (0 : ℝ), ∀ᶠ (N : ℕ) in atTop, (f r N : ℝ) ≤ (N : ℝ) ^ (c / log (log (N : ℝ)))","0|0|0|0|0|0|0|0|0.1885681|0.0942840502|0.0942840502|0|0|0.0942840502|0.1885681|0.282852143|0.0942840502|0|0.0942840502|0.0942840502|0.377136201|0.1885681|0.0942840502|0.0942840502|0|0.1885681|0|0.0942840502|0|0.0942840502|0.0942840502|0.0942840502|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.240239397|0|0|0|0|0.686398268"
"Erdos_539","erdos_539","(fun n ↦ (cofactorThreshold n : ℝ)) =Θ[atTop] (answer(sorry) : ℕ → ℝ)","0|0|0|0|0|0|0|0|0|0|0.160623133|0|0|0|0|0|0.160623133|0|0.160623133|0.160623133|0|0.321246266|0|0|0|0|0|0.160623133|0.160623133|0|0.4818694|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.140028|0|0|0|0|0.700139999"
"Erdos_593","erdos_593","answer(sorry) ↔ ∀ (W : Type) [Fintype W] (F : ThreeUniformHypergraph W), IsObligatory F ↔ F.IsTwoColorable","0|0|0|0|0|0|0|0|0.153442636|0|0.153442636|0|0.306885272|0|0|0|0.153442636|0.153442636|0|0|0.306885272|0.153442636|0|0.306885272|0|0|0|0|0.153442636|0.153442636|0.153442636|0.153442636|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.10547439|0|0|0|0|0.703162551"
